0.wav,"Startup sound"
1.wav,"Waiting for the network configuration."
2.wav,"Unable to connect to the wifi network. Please check wifi password and try again later."
3.wav,"Unable to connect to the server. Please check your local network and try again later."
4.wav,"Robot has exited network configuration mode."
5.wav,"Network connected successfully."
6.wav,"Network connection failed. Please try again later."
7.wav,"Start cleaning."
8.wav,"Start spot cleaning."
9.wav,"Start scheduled cleaning."
10.wav,"Start resuming cleaning."
11.wav,"Paused."
12.wav,"Cleaning task completed."
13.wav,"Returning to the dock to charge."
14.wav,"Low battery. Returning to the dock to charge. Robot will resume working after charging."
15.wav,"I'm about to return to the starting point."
16.wav,"Low battery. I'm about to return to the starting point. Please charge me."
17.wav,"Please move robot to the dock to charge."
18.wav,"Charging."
19.wav,"Please move robot from the dock before turning it off."
20.wav,"Low battery."
21.wav,"Low battery. Robot will turn off."
22.wav,"Please move robot to an area that needs to be cleaned."
23.wav,"Water tank has been installed."
24.wav,"Please check whether water tank is installed properly."
25.wav,"Low battery. Unable to carry out the scheduled cleanup."
26.wav,"Restoring to factory settings."
27.wav,"Updating. Taking about five minutes. Do not turn off nor start a cleaning task."
28.wav,"Updated successfully."
29.wav,"Update failed, please try again later."
30.wav,"Positioning, please wait."
31.wav,"Positioning failed. Map is invalid. Robot will start a new cleanup."
32.wav,"Iâ€™ve detected changes to the environment. Please push the button and start a new cleaning cycle."
33.wav,"Visual navigation sensor error. Please wipe it clean and restart."
34.wav,"Dustbin not installed. Please install it."
35.wav,"Main brush error. Please check and clean it."
36.wav,"Side brush error. Please check and clean it."
37.wav,"Right wheel error. Please check and clean it."
38.wav,"Left wheel error. Please check and clean it."
39.wav,"Please clean cliff sensor."
40.wav,"Robot stuck. Please move it to a new position to restart."
41.wav,"Robot's wheels suspended. Please move robot back on the ground."
42.wav,"Please check and clean filter."
43.wav,"Bumper error. Please gently tap to see if it rebounds."
44.wav,"Error. Please check the user manual or contact customer service."
45.wav,"I am here."
46.wav,"Robot and phone connected. Please return to App to wait for the result."
47.wav,"Start charging."
48.wav,"Low battery. Returning to the dock."
49.wav,"High intensity magnetic field detected. Please move robot away and restart."
50.wav,"Charging error. Please clean charging contacts."
51.wav,"Battery overheating or overcooling. Please wait until the battery's temperature returns to normal. Then continue to use."
52.wav,"Robot tilted. Please put it on a level ground to restart."
53.wav,"Virtual no-go zone detected. Please move robot away and restart."
54.wav,"Positioning succeeded. Resuming cleaning."
55.wav,"Positioning succeeded. Resuming returning to the dock."
56.wav,"Start selected room cleaning."
57.wav,"Start zoned cleaning."
58.wav,"Proceed with cleaning task."
59.wav,"Mopping completed. Please remove water tank timely."
60.wav,"Optical flow sensor error. Please wipe the optical flow sensor clean and restart."
61.wav,"Start mopping."
62.wav,"Start remote control cleaning."
63.wav,"Water tank has been removed."
64.wav,"Positioning failed. Map is invalid. Robot will return to dock."
65.wav,"Resume returning to the dock."
66.wav,"Filter worn out. Please replace it timely."
67.wav,"Side brush worn out. Please replace it timely."
68.wav,"Main brush worn out. Please replace it timely."
69.wav,"Cleanup path blocked. Please move robot to a new position to restart."
70.wav,"Please remove and clean mop pad."
71.wav,"Laser sensor error. Please check and clean the laser sensor."
72.wav,"Please check whether laser distance sensor cover is jammed."
73.wav,"Edge sensor error. Please check and clean it."
74.wav,"Please try to clean the obstacle sensors."
75.wav,"Filter may not be dry or may be blocked."
76.wav,"Spot cleanup is starting."
77.wav,"Please start robot in non-carpet area."
78.wav,"Please clean 3D obstacle avoidance sensor."
79.wav,"3D obstacle avoidance sensor error. Please restart robot or contact customer service."
80.wav,"The transmitter of 3D obstacle avoidance sensor is malfunctioning. Please restart the robot or contact the after-sales service department."
81.wav,"Ultrasonic sensor error. Please restart robot or contact customer service."
82.wav,"Start mapping."
83.wav,"Proceed with mapping."
84.wav,"Mapping completed."
85.wav,"Positioning succeeded. Proceeding with mapping."
86.wav,"Positioning failed. Restarting mapping."
87.wav,"Low battery. Returning to the dock."
88.wav,"Enter remote control mode."
89.wav,"Resume recharging."
90.wav,"Proceed with cleaning task."
91.wav,"The clean water tank is not installed. Please install it before the robot carries on working."
92.wav,"The dirty water tank is not installed. Please install it before the robot carries on working."
93.wav,"There is not enough water in the clean water tank. Add water to the tank before the robot carries on working."
94.wav,"The dirty water tank is full. Pour off the dirty water before the robot carries on working."
95.wav,"The mop pad washboard is not installed. The robot can not return to the charging dock."
96.wav,"The mop pad washboard is overflowing. Please check whether the water outlet of the pad is blocked."
97.wav,"The dust collection bag is not installed. Please install it before the robot carries on working."
98.wav,"The dust collection bag is full. Please empty it."
99.wav,"The upper cover of charging and dust collection compartment is not closed. Please close the upper cover before the robot carries on working."
100.wav,"The air duct of charging and dust collection compartment is blocked. Please have a check."
101.wav,"The upper cover of auto-empty base is not closed or the dust collection bag is not installed. Please close the upper cover or install the bag."
102.wav,"The dust collection bag is full or the air duct is blocked. Please replace the bag with a new one or clean the air duct in time."
103.wav,"The mop pad wash board is installed. The robot resumes working."
104.wav,"The mop pad wash board is not installed. Please ensure that a wash board is installed and clasps on its both sides are tightly fastened."
105.wav,"Start cleaning."
106.wav,"Start cleaning the mop."
107.wav,"Start dehydrating the mop."
108.wav,"The water level of mop pad wash board is abnormal. Please clean it in time to avoid blockage."
109.wav,"An exception occurred in the dirty water tank. Please ensure that a dirty water tank is installed and timely empty the dirty water inside."
110.wav,"Start auto empty."
111.wav,"Mop pads off. Please install them before resuming working."
112.wav,"Place robot back onto the self-wash base before use."
113.wav,"Task completed. Please empty waste tank timely."
114.wav,"Mop pads installed."
115.wav,"Mop pads removed."
116.wav,"Child lock on. Buttons locked."
117.wav,"Child lock off. Buttons unlocked."
118.wav,"Buttons locked. Press and hold the dock button to unlock."
119.wav,"Buttons locked."
120.wav,"Buttons unlocked."
121.wav,"The robot and the phone are connected. Please return to the Fantic app and wait for the network connection to complete."
122.wav,"Continuous positioning, please wait."
126.wav,"Start cleaning."
127.wav,"Start spot cleaning."
128.wav,"Start spot mopping."
129.wav,"Start scheduled cleaning."
130.wav,"Start scheduled mopping."
131.wav,"Start spot cleaning."
132.wav,"Start spot mopping."
133.wav,"Start selected room cleaning."
134.wav,"Start selected room mopping."
135.wav,"Start zoned cleaning."
136.wav,"Start zoned mopping."
137.wav,"Resume cleaning."
138.wav,"Resume mopping."
139.wav,"Resume returning to the base for self-cleaning."
140.wav,"New environment is detected. Returning to the self-wash base."
141.wav,"Mop pad error. Please check and clean it."
142.wav,"Mop pad worn out. Please replace it timely."
143.wav,"Cleaning completed."
144.wav,"Mopping completed."
145.wav,"Positioning successful. Resume cleaning."
146.wav,"Positioning successful. Resume mopping."
148.wav,"Return to the base for self-cleaning."
149.wav,"Unable to reach the specified area. Please try to clear obstacles in the path."
150.wav,"Unable to reach the specified area. Please try to delete no-go zones in the path."
151.wav,"The path is blocked. Please try to clear obstacles around your robot."
152.wav,"The path is blocked. Please try to delete no-go zones or move your robot out of this area."
153.wav,"Your robot is detected in the no-go zone. Please move your robot out of this area."
154.wav,"Operated too frequently. Please try again later."
155.wav,"Start to return to the charging and the mop cleaning dock."
156.wav,"Mop pad tray uninstalled."
157.wav,"Am already at the charging and the mop cleaning dock."
200.wav,"Shutdown sound"
