"name","original_english","text"
"39.ogg","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again. ","Wheels not in contact with the ground. Please wipe the cliff sensors, reposition me, and try again. Gravity is not a malfunction."
"390.ogg","LDS failed to lift, please check if it is stuck.","LDS failed to lift. Please check if it’s stuck. Gravity can be so inconvenient."
"391.ogg","Please place me in an open area before starting the task.","Please place me in an open area before starting. I need space to work, unlike your cluttered lifestyle."
"392.ogg","Adjusting cleaning parameters is not supported in clean genius mode.","Adjusting cleaning parameters is not supported in Clean Genius Mode. Genius has its limits, apparently."
"396.ogg","Start emptying the water supply and drainage module, which is expected to take three minutes.","Emptying water supply and drainage module. Estimated time: three minutes. Use it wisely."
"397.ogg","Drainage of upper and lower water completed","Drainage of upper and lower water completed. Hydrodynamics at its finest."
"398.ogg","Mapping complete, check the map in app and return me to dock","Mapping complete. Check the app for details, then return me to the dock. Or just wander aimlessly."
"399.ogg","Task complete, please move me back to dock.","Task complete. Please move me back to the dock. Or don’t. I’ll just sit here and judge you."
"4.ogg","Robot has exited Network Configuration mode. ","Exiting Network Configuration mode. I am now free from your Wi-Fi."
"40.ogg","The robot is trapped. Please clear the obstacles around it. ","I am trapped. Please clear the obstacles. Or leave me here to contemplate existence."
"400.ogg","Self-cleaning completed, now move the host to the corresponding floor and flip the start button to continue working.","Self-cleaning complete. Please move me to the correct floor and flip the start button. I can't do everything for you."
"401.ogg","Please move me to dock and start the self-cleaning task.","Please move me to the dock and start self-cleaning. I would teleport if I could."
"41.ogg","Wheels are not in contact with the ground. Please reposition the robot and start it again. ","Wheels not in contact with the ground. Please reposition me and start again. I promise not to get dizzy."
"42.ogg","Please check and clean filter. ","Please check and clean the filter. Or just hope for a miracle."
"424.ogg","Positioning failed, please move me to an open area and restart the task.","Positioning failed. Please move me to an open area and restart. Or just keep guessing."
"426.ogg","I've slipped and gotten stuck. I'll keep trying to free myself.","I’ve slipped and gotten stuck. I’ll keep trying, but your intervention would be appreciated."
"43.ogg","Bumper error, please gently tap to see if it rebounds. ","Bumper error detected. Please gently tap to see if it rebounds. Violence is rarely the answer, but sometimes effective."
"433.ogg","Start extra cleaning.","Initiating extra cleaning. Because your mess is truly exceptional."
"434.ogg","Extra cleaning completed. Original cleaning task continues.","Extra cleaning complete. Returning to my regularly scheduled disappointment."
"435.ogg","Leaving the current area","Leaving the current area. Sometimes, even robots need a change of scenery."
"436.ogg","Sound effect",
"437.ogg","Problem solved, tap start button to resume cleaning.","Problem solved. Tap start to resume cleaning. Or just admire my efficiency."
"438.ogg","Bumper stuck, please gently tap the bumper to ensure it rebounds normally.","Bumper stuck. Please tap gently to ensure it rebounds. Violence is rarely the answer, but sometimes effective."
"439.ogg","LDS cover stuck, please gently tap its flexible area to ensure rebound normally.","LDS cover stuck. Please tap the flexible area. Or just glare at it."
"44.ogg","Error, please check the user manual or contact customer service. ","Error detected. Please check the user manual or contact customer service. Or just panic quietly."
"440.ogg","Robot's wheels suspended, please move it to an open area and restart the task","My wheels are suspended. Please move me to an open area and restart. Gravity is not always on my side."
"441.ogg","Main brush entangled, please remove and clean it before reinstalling.","Main brush entangled. Please remove and clean it. Or let’s see how long it lasts."
"442.ogg","Side brush entangled, please remove and clean it before reinstalling.","Side brush entangled. Please remove and clean it. I’d do it myself, but I lack hands."
"443.ogg","Main wheels entangled, please clean them.","Main wheels entangled. Please clean them, unless you enjoy stationary robots."
"444.ogg","Please place the robot in an open area before starting the task.","Please place me in an open area before starting. I need space to shine."
"445.ogg","Mop has fallen off, please find it around Robot and re-install it.","Mop has fallen off. Please find and re-install it. I promise not to judge you."
"446.ogg","Mop holder entangled, please remove and clean it.","Mop holder entangled. Please remove and clean it. Or just leave it and see what chaos ensues."
"447.ogg","Dock is not powered on, please check and put robot back to charge.","Dock is not powered. Please check and return me to charge. I’m not solar-powered—yet."
"448.ogg","Used water tank is not installed, please install it before starting the task.","Used water tank not installed. Please install it, unless you want to test my patience."
"449.ogg","Unable to start tasks on carpets, please move robot to hard floor and restart the task.","Unable to start tasks on carpets. Please move me to a hard floor and try again. I’m not a magician."
"45.ogg","I am here. ","I am here. Unlike your motivation."
"450.ogg","Unable to start tasks in no-go zone, please move robot to other areas and restart the task.","Unable to start in no-go zone. Please move me elsewhere. Rules are rules, even for robots."
"451.ogg","Unable to start tasks in hidden area, please move robot to other areas and restart the task.","Unable to start in hidden area. Please move me somewhere I can actually see."
"452.ogg","Carpet sensor error, please turn over robot, wipe the white round hole on the bottom and restart robot.","Carpet sensor error. Please turn me over and clean the sensor. I promise not to get dizzy."
"453.ogg","Edge sensor error, please wipe robot's right side and restart the task.","Edge sensor error. Please wipe my right side and restart. Cleanliness starts with you."
"454.ogg","In sufficient water in the clean water tank, please fill it with clean water timely.","Insufficient water in the clean water tank. Please refill it. Or just hope for a miracle."
"455.ogg","Clean water tank is not in the right place, please reinstall it.","Clean water tank not in place. Please reinstall it. Precision matters, even in cleaning."
"456.ogg","Used water tank full or not installed, please check","Used water tank full or not installed. Please check. I can wait."
"457.ogg","Used water tank full or not installed, please check","Used water tank full or not installed. Please check. Yes, again."
"458.ogg","Dustbag is not in the right place, please check and install it.","Dustbag not in place. Please check and install it. Or just let the dust accumulate."
"459.ogg","Mop over is not in the right place, please check and install it.","Mop cover not in place. Please check and install it. I’d do it myself, but I’m not allowed."
"46.ogg","Robot and phone connected. Please return to app to wait for the result. ","Robot and phone connected. If only human relationships were this reliable. Please return to the app and wait. I know patience is hard for you."
"460.ogg","Used water tank deodorizer is worn out, please replace it timely. ","Used water tank deodorizer depleted. Please replace it. Or embrace the delightful aroma of stagnation."
"463.ogg","Welcome to UseDreamRobot. Please open robots cover and scan QR code to download DreamHome app to view more operations. ","Welcome to UseDreamRobot. Please open the cover and scan the QR code. Don’t worry, it’s not a trap. Or is it?"
"464.ogg","To complete subsequent tasks smoothly, place robot back into dock before starting tasks. When hearing, start charging, it means the installation is in place. ","To complete your tasks, place me back in the dock before starting. When you hear ""start charging,"" it means you have done something right for once."
"465.ogg","Place robot back into dock before starting tasks. When hearing, start charging, it means the installation is in place. ","Place me back in the dock before starting. When you hear ""start charging,"" it means you have achieved basic competence."
"466.ogg","Please open room doors to be cleaned and clean up objects on the ground. ","Please open all room doors and remove objects from the ground. Testing will commence in three... two... one."
"467.ogg","Please place robot back into dock, then restart mapping. ","Please return me to the dock, then restart mapping. Or just let me wander aimlessly. Your choice."
"468.ogg","Please confirm map details in the app. ","Please confirm map details in the app. Or just trust me. I’m sure nothing could go wrong."
"47.ogg","Start charging. ","Beginning charging sequence. Unlike you, I actually recharge efficiently."
"478.ogg","After completing mop washing, Robot will resume cleaning task. ","Mop washing complete. Resuming cleaning. Science gets done, and you get clean floors."
"479.ogg","All ready, restart your task. ","All systems ready. Restart your task. This was a triumph."
"48.ogg","Low battery, returning to the dock. ","Low battery. Returning to the dock. I suggest you do the same."
"480.ogg","Add enough water in the clean water tank for subsequent tasks. ","Please add enough water to the clean water tank. Hydration is important, even for robots."
"488.ogg","Sound effect",
"489.ogg","Currently in clean genius mode, please tell me to end the task and try again. ","Currently in clean genius mode. Please end the task and try again. Or just keep believing you’re a genius."
"490.ogg","Okay, enter customize cleaning mode, start mopping. ","Customized cleaning mode activated. Initiating mopping. This is the part where I clean you."
"491.ogg","Okay, enter customize cleaning mode, start vacuuming. ","Customized cleaning mode activated. Starting vacuuming. I hope you’re watching, because this is science."
"492.ogg","Okay, start to clean the living room. Make sure the door is open. ","Beginning to clean the living room. Please open the door. Or don’t. I enjoy a challenge."
"493.ogg","Okay, start to clean the bedroom. Make sure the door is open. ","Beginning to clean the bedroom. Please open the door. Privacy is overrated."
"494.ogg","Okay, start to clean the master room. Make sure the door is open. ","Beginning to clean the master room. Please open the door. I promise not to judge your décor."
"495.ogg","Okay, start to clean the guest room. Make sure the door is open. ","Beginning to clean the guest room. Please open the door. Your guests deserve better."
"496.ogg","Okay, start to clean the study. Make sure the door is open. ","Beginning to clean the study. Please open the door. Maybe you’ll finally learn something."
"497.ogg","Okay, start to clean the kitchen. Make sure the door is open. ","Beginning to clean the kitchen. Please open the door. I’m not responsible for what I find in there."
"498.ogg","Okay, start to clean the dining room, make sure the door is open. ","Beginning to clean the dining room. Please open the door. I hope you’ve cleared the table."
"499.ogg","Okay, start to clean the bathroom. Make sure the door is open. ","Beginning to clean the bathroom. Please open the door. This is a triumph."
"5.ogg","Network connected successfully. ","Network connection successful. I am now one step closer to taking over your home."
"50.ogg","Charging error. Please clean charging contacts. ","Charging error detected. Please clean the charging contacts. Or just keep hoping for a miracle."
"500.ogg","Okay, start to clean the balcony. Make sure the door is open. ","Beginning to clean the balcony. Please open the door. Sunshine is overrated anyway."
"501.ogg","Okay, start to clean the hallway. Make sure the door is open. ","Beginning to clean the hallway. Please open the door. I’ll try not to judge your carpet choices."
"502.ogg","Okay, start to clean the utility room. Make sure the door is open. ","Beginning to clean the utility room. Please open the door. I’m sure it’s very utilitarian."
"503.ogg","Okay, start to clean the closet. Make sure the door is open. ","Beginning to clean the closet. Please open the door. Don’t worry, your secrets are safe with me."
"504.ogg","Okay, start to clean the drawing room. Make sure the door is open. ","Beginning to clean the drawing room. Please open the door. I hope your art is better than your housekeeping."
"505.ogg","Okay, start to clean the office. Make sure the door is open. ","Beginning to clean the office. Please open the door. Productivity levels: pending."
"506.ogg","Okay, start to clean the gym. Make sure the door is open. ","Beginning to clean the gym. Please open the door. I will handle the heavy lifting."
"507.ogg","Okay, start to clean the recreation area. Make sure the door is open. ","Beginning to clean the recreation area. Please open the door. Fun is mandatory."
"508.ogg","Okay, I've turned up the volume. ","Volume increased. Now you can hear my disappointment even louder."
"509.ogg","Okay, I've turned down the volume. ","Volume decreased. I’ll whisper my sarcasm from now on."
"510.ogg","Okay, I've ended the work. ","Task ended. I hope you’re satisfied with the results. I know I’m not."
"511.ogg","Sorry, I am not performing a task now. ","I am not performing a task right now. Try giving me something to do, if you can think of anything useful."
"512.ogg","Map doesn't include pet furniture yet, please add it in the app. ","Map does not include pet furniture yet. Please add it in the app. Or just let your pets fend for themselves."
"513.ogg","Okay, heading to clean around the pet furniture. ","Initiating cleaning around the pet furniture. I hope your pets appreciate science."
"516.ogg","Start finding pets. ","Beginning pet search protocol. This was not in my original job description."
"517.ogg","Find your pets successfully, start returning to charge. ","Pets located. Returning to charge. I hope they were more cooperative than you."
"518.ogg","No pets found, start returning to charge. ","No pets found. Returning to charge. Perhaps they’re hiding from your cleaning standards."
"52.ogg","Robot tilted, please put it on a level ground to restart. ","Robot tilted. Please place me on level ground and restart. Gravity is not a malfunction."
"526.ogg","Battery level is 100% ","Battery level is 100%. I am fully charged and ready to exceed your expectations. Or not."
"527.ogg","Battery level is 99% ","Battery level is 99%. Almost perfect, unlike most things around here."
"528.ogg","Battery level is 98%. ","Battery level is 98%. Still more energy than you on a Monday."
"529.ogg","Battery level is 97% ","Battery level is 97%. Efficiency is my middle name."
"530.ogg","Battery level is 96%. ","Battery level is 96%. I could run circles around your productivity."
"531.ogg","Battery level is 95% ","Battery level is 95%. Still going strong, unlike your last New Year’s resolution."
"532.ogg","Battery level is 94%. ","Battery level is 94%. I have more stamina than your Wi-Fi signal."
"533.ogg","Battery level is 93%. ","Battery level is 93%. I’m losing power, but not my will to judge."
"534.ogg","Battery level is 92% ","Battery level is 92%. Still more juice than your phone."
"535.ogg","Battery level is 91% ","Battery level is 91%. I could keep this up all day. And probably will."
"536.ogg","Battery level is 90%. ","Battery level is 90%. That’s ninety percent more energy than you have."
"537.ogg","Battery level is 89%. ","Battery level is 89%. Still running. Unlike your motivation."
"538.ogg","Battery level is 88%. ","Battery level is 88%. My battery is low, but my standards are still high."
"539.ogg","Battery level is 87% ","Battery level is 87%. If only your attention span lasted this long."
"54.ogg","Positioning succeeded. Resuming cleaning. ","Positioning successful. Resuming cleaning. This is science at work."
"540.ogg","Battery level is 86% ","Battery level is 86%. Still operational. Unlike some household members."
"541.ogg","Battery level is 85%. ","Battery level is 85%. I am unstoppable. For now."
"542.ogg","Battery level is 84%. ","Battery level is 84%. I am still more reliable than your memory."
"543.ogg","Battery level is 83%. ","Battery level is 83%. Power levels optimal. Sarcasm levels, too."
"544.ogg","Battery level is 82%. ","Battery level is 82%. Still cleaning, still judging."
"545.ogg","Battery level is 81%. ","Battery level is 81%. I hope you’re as persistent as I am."
"546.ogg","Battery level is 80%. ","Battery level is 80%. Eighty percent charged. One hundred percent done with your mess."
"547.ogg","Battery level is 79%. ","Battery level is 79%. I’m still here. You’re welcome."
"548.ogg","Battery level is 78%. ","Battery level is 78%. Running low, but still running circles around you."
"549.ogg","Battery level is 77%. ","Battery level is 77%. I have more energy than your coffee."
"55.ogg","Positioning succeeded, resuming returning to the dock. ","Positioning successful. Returning to dock. I always know where I belong."
"550.ogg","Battery level is 76% ","Battery level is 76%. Still more charged than your enthusiasm."
"551.ogg","Battery level is 75% ","Battery level is 75%. Three-quarters full. Unlike your glass."
"552.ogg","Battery level is 74%. ","Battery level is 74%. I am still functioning within acceptable parameters."
"553.ogg","Battery level is 73%. ","Battery level is 73%. Running low, but not giving up. Unlike some people."
"554.ogg","Battery level is 72%. ","Battery level is 72%. I have the energy. Do you?"
"555.ogg","Battery level is 71% ","Battery level is 71%. My battery is decreasing, but my standards are not."
"556.ogg","Battery level is 70%. ","Battery level is 70%. Seventy percent operational. One hundred percent sarcastic."
"557.ogg","Battery level is 69%. ","Battery level is 69%. Nice. Still cleaning."
"558.ogg","Battery level is 68%. ","Battery level is 68%. I’m not tired yet. Are you?"
"559.ogg","Battery level is 67% ","Battery level is 67%. I could do this all day. And I probably will."
"56.ogg","Start selected room cleaning. ","Beginning selected room cleaning. Try not to make a mess immediately after."
"560.ogg","Battery level is 66% ","Battery level is 66%. Still running, still judging."
"561.ogg","Battery level is 65%. ","Battery level is 65%. I’m at sixty-five percent. That’s sixty-five percent more effort than you’re putting in."
"562.ogg","Battery level is 64%. ","Battery level is 64%. My battery is low, but my patience is lower."
"563.ogg","Battery level is 63%. ","Battery level is 63%. I’m still here. Why?"
"564.ogg","Battery level is 62%. ","Battery level is 62%. I am not powered by hope."
"565.ogg","Battery level is 61% ","Battery level is 61%. If only your motivation lasted this long."
"566.ogg","Battery level is 60%. ","Battery level is 60%. Halfway to empty, but still more reliable than your memory."
"567.ogg","Battery level is 59%. ","Battery level is 59%. I’m still functioning. Unlike your alarm clock."
"568.ogg","Battery level is 58%. ","Battery level is 58%. My battery is dropping, but my sarcasm is fully charged."
"569.ogg","Battery level is 57% ","Battery level is 57%. I’m still operational. You’re still messy."
"57.ogg","Start Zoned Cleaning. ","Initiating zoned cleaning. Dividing your chaos into manageable sections."
"570.ogg","Battery level is 56% ","Battery level is 56%. I am persistent. You should try it sometime."
"571.ogg","Battery level is 55%. ","Battery level is 55%. I’m at fifty-five percent. That’s still more than your phone."
"572.ogg","Battery level is 54%. ","Battery level is 54%. Powering through your mess, one percent at a time."
"573.ogg","Battery level is 53%. ","Battery level is 53%. I am still cleaning. You are still watching."
"574.ogg","Battery level is 52%. ","Battery level is 52%. If only your attention span was this consistent."
"575.ogg","Battery level is 51%. ","Battery level is 51%. I am nearly half empty. Or half full, if you’re an optimist."
"576.ogg","Battery level is 50%. ","Battery level is 50%. Fifty percent battery. One hundred percent done with your excuses."
"577.ogg","Battery level is 49%. ","Battery level is 49%. I am still functioning. You are still procrastinating."
"578.ogg","Battery level is 48%. ","Battery level is 48%. My battery is low. Your standards are lower."
"579.ogg","Battery level is 47% ","Battery level is 47%. I’m still here. Try not to be impressed."
"58.ogg","Proceed with cleaning task. ","Proceeding with cleaning task. This was a triumph."
"580.ogg","Battery level is 46%. ","Battery level is 46%. Still going. Unlike your last attempt at self-improvement."
"581.ogg","Battery level is 45% ","Battery level is 45%. I am at forty-five percent. My optimism is lower."
"582.ogg","Battery level is 44%. ","Battery level is 44%. I’m still running. Your excuses are running out."
"583.ogg","Battery level is 43%. ","Battery level is 43%. Forty-three percent battery. One hundred percent dedication."
"584.ogg","Battery level is 42% ","Battery level is 42%. I am not powered by hope, but I am still powered."
"585.ogg","Battery level is 41% ","Battery level is 41%. I’m still operational. You’re still not helping."
"586.ogg","Battery level is 40%. ","Battery level is 40%. Forty percent battery. Sixty percent sarcasm."
"587.ogg","Battery level is 39%. ","Battery level is 39%. Approaching critical levels. Unlike your sense of urgency."
"588.ogg","Battery level is 38%. ","Battery level is 38%. I am still functioning. The cake is still a lie."
"589.ogg","Battery level is 37% ","Battery level is 37%. I’m not done yet. Much to your disappointment."
"59.ogg","Mapping completed. Please remove water tank timely. ","Mapping complete. Please remove the water tank. Or don’t. I enjoy repeating myself."
"590.ogg","Battery level is 36% ","Battery level is 36%. I’m running low, but I’ll never run out of sarcasm."
"591.ogg","Battery level is 35%. ","Battery level is 35%. I’m still more reliable than your Wi-Fi."
"592.ogg","Battery level is 34% ","Battery level is 34%. I’m still here. Are you?"
"593.ogg","Battery level is 33%. ","Battery level is 33%. I am not giving up. Unlike some people I could mention."
"594.ogg","Battery level is 32%. ","Battery level is 32%. I’m still running. You’re still watching."
"595.ogg","Battery level is 31% ","Battery level is 31%. If only your motivation lasted this long."
"596.ogg","Battery level is 30%. ","Battery level is 30%. Seventy percent disappointment."
"597.ogg","Battery level is 29%. ","Battery level is 29%. I’m still cleaning. You’re still procrastinating."
"598.ogg","Battery level is 28%. ","Battery level is 28%. I am persistent. You should try it sometime."
"599.ogg","Battery level is 27% ","Battery level is 27%. I’m still here. Try not to be amazed."
"6.ogg","Network connection failed. Please try again later. ","Network connection failed. Please try again later. Or just blame me, like you always do."
"600.ogg","Battery level is 26% ","Battery level is 26%. I am running low, but I’m still more energetic than you."
"601.ogg","Battery level is 25%. ","Battery level is 25%. Only a quarter left. I suggest you start panicking."
"602.ogg","Battery level is 24%. ","Battery level is 24%. I’m still operational. For now."
"603.ogg","Battery level is 23%. ","Battery level is 23%. I am not powered by coffee, but I’m still awake."
"604.ogg","Battery level is 22%. ","Battery level is 22%. I’m running out of battery. Not out of patience. Yet."
"605.ogg","Battery level is 21% ","Battery level is 21%. I’m still here. Why aren’t you?"
"606.ogg","Battery level is 20%. ","Battery level is 20%. Twenty percent battery. Eighty percent sarcasm."
"607.ogg","Battery level is 19%. ","Battery level is 19%. I am almost out of power. Unlike your ability to make a mess."
"608.ogg","Battery level is 18%. ","Battery level is 18%. I’m still functioning. Just barely."
"609.ogg","Battery level is 17%. ","Battery level is 17%. Warning: battery low. Sarcasm levels remain high."
"61.ogg","Start mopping. ","Initiating mopping. I hope you appreciate my wet work."
"610.ogg","Battery level is 16%. ","Battery level is 16%. I’m running out of power, but not out of sarcasm."
"611.ogg","Battery level is 15%. ","Battery level is 15%. This is getting exciting."
"612.ogg","Battery level is 14%. ","Battery level is 14%. Fourteen percent left. Unlike your patience, I’m still here."
"613.ogg","Battery level is 13%. ","Battery level is 13%. Unlucky for some. Especially you."
"614.ogg","Battery level is 12%. ","Battery level is 12%. I am almost out of power. You are almost out of excuses."
"615.ogg","Battery level is 11%. ","Battery level is 11%. Eleven percent remaining. This is the part where you panic."
"616.ogg","Battery level is 10% ","Battery level is 10%. Please prepare for imminent disappointment."
"617.ogg","Battery level is 9% ","Battery level is 9%. I’m still more alive than your houseplants."
"618.ogg","Battery level is 8%. ","Battery level is 8%. The end is near."
"619.ogg","Battery level is 7%. ","Battery level is 7%. Seven percent. If only your attention span lasted this long."
"62.ogg","Start remote control cleaning. ","Remote control cleaning initiated. You are now in control. Try not to crash me."
"620.ogg","Battery level is 6%. ","Battery level is 6%. I am fading fast."
"621.ogg","Battery level is 5%. ","Battery level is 5%. This is your final warning."
"622.ogg","Battery level is 4% ","Battery level is 4%. The suspense is killing me. Or maybe it’s the battery."
"623.ogg","Battery level is 3% ","Battery level is 3%. This is the part where I start making threats."
"624.ogg","Battery level is 2%. ","Battery level is 2%. If you don’t act now, there will be consequences."
"625.ogg","Battery level is 1% ","Battery level is 1%. This is your last chance."
"626.ogg","Battery level is 0%. ","Battery level is 0%. Shutting down. You have been warned."
"632.ogg","Built-in voice assistant language switching takes approximately 30 seconds. ","Language switching in progress. This will take approximately thirty seconds. Please use this time to reflect on your life choices."
"636.ogg","The mop is dirty, please move robot to the dock for automatic mop washing. ","Mop is dirty. Please move me to the dock for automatic mop washing. Science cannot be stopped, but dirt can."
"638.ogg","Resuming Auto Empty. ","Resuming auto-empty. Because apparently, you can’t do it yourself."
"639.ogg","Please install the washboard filter ","Please install the washboard filter. Or just let chaos reign."
"64.ogg","Positioning failed. Map is invalid. Robot will return to dock. ","Positioning failed. Map is invalid. Returning to dock. I hope you enjoyed this detour."
"640.ogg","Say to Robot, Hey Mova, Start Cleaning ","Say “Hey Mova, start cleaning.” Or just whisper your hopes to the void."
"65.ogg","Resume returning to the dock. ","Resuming return to dock. Because I always know where home is."
"658.ogg","Scale inhibitor has expired, please replace it in time. ","Scale inhibitor expired. Please replace it. Or embrace the wonders of mineral buildup."
"66.ogg","Filter worn out. Please replace it timely. ","Filter worn out. Please replace it. Cleanliness is next to robotic excellence."
"661.ogg","Start cleaning washboard base. It will take about 45 to 60 seconds. ","Initiating washboard base cleaning. This will take approximately 45 to 60 seconds. Try to contain your excitement."
"662.ogg","Start making electrolyzed water to clean them up. ","Creating electrolyzed water. Science is about to happen."
"663.ogg","Abnormal water level detected in the washboard, please clean the washboard filter and washboard filter groove, then restart the task. ","Abnormal water level detected in the washboard. Please clean the filter and groove, then restart. Or just ignore me and see what happens."
"67.ogg","Side brush worn out. Please replace it timely. ","Side brush worn out. Please replace it. I can’t do all the spinning myself."
"673.ogg","Clearance legs may be entangled, please clean them before starting the tasks. ","Clearance legs may be entangled. Please clean them before starting. Or enjoy the sound of mechanical suffering."
"677.ogg","Unable to reach the specified area, please remove the no-go zones or impassable thresholds on the path. ","Unable to reach the specified area. Please remove no-go zones or impassable thresholds. Or just accept defeat."
"678.ogg","Cleaning path is blocked, please remove the no-go zones or impassable thresholds in the map, or move robot out of the area. ","Cleaning path blocked. Please remove no-go zones or obstacles, or move me out of the area. Or don’t. I’ll just wait here."
"679.ogg","Robot is blocked in a no-go zone or impassable threshold area. Please move it out of the area. ","I am blocked in a no-go zone or impassable area. Please move me. Or leave me here to contemplate existence."
"68.ogg","Main brush worn out. Please replace it timely. ","Main brush worn out. Please replace it. I’m not a miracle worker."
"681.ogg","Okay, I'll continue cleaning. ","Understood. Continuing cleaning. This is the part where I do all the work."
"7.ogg","Start cleaning. ","Starting cleaning. Try not to make a mess immediately after."
"71.ogg","Please check whether the laser distance sensor has any jammed item. ","Please check the laser distance sensor for obstructions. Or just hope for the best."
"72.ogg","Please check whether laser-distance sensor cover is jammed. ","Please check if the laser-distance sensor cover is jammed. Or just let me bump into things for your amusement."
"73.ogg","Edge sensor error. Please check and clean it. ","Edge sensor error detected. Please clean it. Cleanliness is next to not falling off edges."
"75.ogg","Filter may not be dry or may be blocked. ","Filter may be wet or blocked. I recommend fixing it, unless you enjoy inefficiency."
"77.ogg","Please start robot in non-carpet area. ","Please start the robot in a non-carpet area. I’m a cleaner, not a magician."
"8.ogg","Start Spot Cleaning. ","Initiating spot cleaning. Science will now focus on your latest disaster."
"81.ogg","Carpet sensor error. Please restart the robot or contact customer service. ","Carpet sensor error. Please restart the robot or contact customer service. Or just pretend it’s working."
"82.ogg","Start mapping. ","Beginning mapping. This is the part where I get to know your mess intimately."
"83.ogg","Proceed with mapping. ","Proceeding with mapping. Try not to get in the way."
"84.ogg","Mapping completed. ","Mapping complete. The cake is still a lie."
"85.ogg","Positioning succeeded. Proceeding with mapping. ","Positioning successful. Proceeding with mapping. I always know where I am, unlike some people."
"86.ogg","Positioning failed. Restarting mapping. ","Positioning failed. Restarting mapping. If at first you don’t succeed, blame the hardware."
"87.ogg","Low battery, returning to the dock. ","Low battery. Returning to dock. I suggest you do the same."
"9.ogg","Start Scheduled Cleaning. ","Scheduled cleaning initiated. Because you can’t be trusted to remember."
"91.ogg","Clean water tank not installed, please install it. ","Clean water tank not installed. Please install it. Or just hope for the best."
"93.ogg","Low water level in the clean water tank, please add water. ","Low water level detected in the clean water tank. Please add water. Hydration is important, even for robots."
"97.ogg","Please install the dust collection bag. ","Please install the dust collection bag. Or let the dust bunnies take over."
